epi_year_week,date,day,iso_week,epi_week,epi_year,date.1,day_off,break_day,holiday,day_off_sat,day_off_sun
2001-28,14.07.01,6,28,28,2001,2001-07-14,1.0,1.0,0.0,1.0,0.0
2001-28,15.07.01,7,28,28,2001,2001-07-15,1.0,1.0,0.0,0.0,1.0
2001-29,16.07.01,1,29,29,2001,2001-07-16,0.0,1.0,0.0,0.0,0.0
2001-29,17.07.01,2,29,29,2001,2001-07-17,0.0,1.0,0.0,0.0,0.0
2001-29,18.07.01,3,29,29,2001,2001-07-18,0.0,1.0,0.0,0.0,0.0
2001-29,19.07.01,4,29,29,2001,2001-07-19,0.0,1.0,0.0,0.0,0.0
2001-29,20.07.01,5,29,29,2001,2001-07-20,0.0,1.0,0.0,0.0,0.0
2001-29,21.07.01,6,29,29,2001,2001-07-21,1.0,1.0,0.0,1.0,0.0
2001-29,22.07.01,7,29,29,2001,2001-07-22,1.0,1.0,0.0,0.0,1.0
2001-30,23.07.01,1,30,30,2001,2001-07-23,0.0,1.0,0.0,0.0,0.0
2001-30,24.07.01,2,30,30,2001,2001-07-24,0.0,1.0,0.0,0.0,0.0
2001-30,25.07.01,3,30,30,2001,2001-07-25,0.0,1.0,0.0,0.0,0.0
2001-30,26.07.01,4,30,30,2001,2001-07-26,0.0,1.0,0.0,0.0,0.0
2001-30,27.07.01,5,30,30,2001,2001-07-27,0.0,1.0,0.0,0.0,0.0
2001-30,28.07.01,6,30,30,2001,2001-07-28,1.0,1.0,0.0,1.0,0.0
2001-30,29.07.01,7,30,30,2001,2001-07-29,1.0,1.0,0.0,0.0,1.0
2001-31,30.07.01,1,31,31,2001,2001-07-30,0.0,1.0,0.0,0.0,0.0
2001-31,31.07.01,2,31,31,2001,2001-07-31,0.0,1.0,0.0,0.0,0.0
2001-31,01.08.01,3,31,31,2001,2001-08-01,0.0,1.0,0.0,0.0,0.0
2001-31,02.08.01,4,31,31,2001,2001-08-02,0.0,1.0,0.0,0.0,0.0
2001-31,03.08.01,5,31,31,2001,2001-08-03,0.0,1.0,0.0,0.0,0.0
2001-31,04.08.01,6,31,31,2001,2001-08-04,1.0,1.0,0.0,1.0,0.0
2001-31,05.08.01,7,31,31,2001,2001-08-05,1.0,1.0,0.0,0.0,1.0
2001-32,06.08.01,1,32,32,2001,2001-08-06,0.0,1.0,0.0,0.0,0.0
2001-32,07.08.01,2,32,32,2001,2001-08-07,0.0,1.0,0.0,0.0,0.0
2001-32,08.08.01,3,32,32,2001,2001-08-08,0.0,1.0,0.0,0.0,0.0
2001-32,09.08.01,4,32,32,2001,2001-08-09,0.0,1.0,0.0,0.0,0.0
2001-32,10.08.01,5,32,32,2001,2001-08-10,0.0,1.0,0.0,0.0,0.0
2001-32,11.08.01,6,32,32,2001,2001-08-11,1.0,1.0,0.0,1.0,0.0
2001-32,12.08.01,7,32,32,2001,2001-08-12,1.0,1.0,0.0,0.0,1.0
2001-33,13.08.01,1,33,33,2001,2001-08-13,0.0,1.0,0.0,0.0,0.0
2001-33,14.08.01,2,33,33,2001,2001-08-14,0.0,1.0,0.0,0.0,0.0
2001-33,15.08.01,3,33,33,2001,2001-08-15,0.0,1.0,0.0,0.0,0.0
2001-33,16.08.01,4,33,33,2001,2001-08-16,0.0,1.0,0.0,0.0,0.0
2001-33,17.08.01,5,33,33,2001,2001-08-17,0.0,1.0,0.0,0.0,0.0
2001-33,18.08.01,6,33,33,2001,2001-08-18,1.0,1.0,0.0,1.0,0.0
2001-33,19.08.01,7,33,33,2001,2001-08-19,1.0,1.0,0.0,0.0,1.0
2001-34,20.08.01,1,34,34,2001,2001-08-20,0.0,1.0,0.0,0.0,0.0
2001-34,21.08.01,2,34,34,2001,2001-08-21,0.0,1.0,0.0,0.0,0.0
2001-34,22.08.01,3,34,34,2001,2001-08-22,0.0,1.0,0.0,0.0,0.0
2001-34,23.08.01,4,34,34,2001,2001-08-23,0.0,1.0,0.0,0.0,0.0
2001-34,24.08.01,5,34,34,2001,2001-08-24,0.0,1.0,0.0,0.0,0.0
2001-34,25.08.01,6,34,34,2001,2001-08-25,1.0,1.0,0.0,1.0,0.0
2001-34,26.08.01,7,34,34,2001,2001-08-26,1.0,1.0,0.0,0.0,1.0
2001-35,27.08.01,1,35,35,2001,2001-08-27,0.0,1.0,0.0,0.0,0.0
2001-35,28.08.01,2,35,35,2001,2001-08-28,0.0,1.0,0.0,0.0,0.0
2001-35,29.08.01,3,35,35,2001,2001-08-29,0.0,1.0,0.0,0.0,0.0
2001-35,30.08.01,4,35,35,2001,2001-08-30,0.0,1.0,0.0,0.0,0.0
2001-35,31.08.01,5,35,35,2001,2001-08-31,0.0,1.0,0.0,0.0,0.0
2001-35,01.09.01,6,35,35,2001,2001-09-01,1.0,0.0,0.0,1.0,0.0
2001-35,02.09.01,7,35,35,2001,2001-09-02,1.0,0.0,0.0,0.0,1.0
2001-36,03.09.01,1,36,36,2001,2001-09-03,0.0,0.0,0.0,0.0,0.0
2001-36,04.09.01,2,36,36,2001,2001-09-04,0.0,0.0,0.0,0.0,0.0
2001-36,05.09.01,3,36,36,2001,2001-09-05,0.0,0.0,0.0,0.0,0.0
2001-36,06.09.01,4,36,36,2001,2001-09-06,0.0,0.0,0.0,0.0,0.0
2001-36,07.09.01,5,36,36,2001,2001-09-07,0.0,0.0,0.0,0.0,0.0
2001-36,08.09.01,6,36,36,2001,2001-09-08,1.0,0.0,0.0,1.0,0.0
2001-36,09.09.01,7,36,36,2001,2001-09-09,1.0,0.0,0.0,0.0,1.0
